YARN ID,YARN NAME,YARN COMPOSITION,BLEND RATIO,YARN COUNT,COUNT SYSTEM,YARN TYPE,YARN FORM,TPI,YARN FINISH,COLOR,DYE TYPE,UoM,REMARKS,,
Y001,Cotton 30/1 Combed,Cotton,100%,30/1,Ne,Combed,Spun,18,Mercerized,White,Yarn Dyed,KG,Smooth handfeel,,
Y002,Cotton 24/1 Carded,Cotton,100%,24/1,Ne,Carded,Spun,16,Raw,Natural,Yarn Dyed,CONE,Cost effective,,
Y003,Cotton Slub,Cotton,100%,20/1,Ne,Slub,Spun,15,Raw,Natural,Yarn Dyed,LBS,Fashion slub effect,,
Y004,Wool 2/28 Nm,Wool,100%,2/28,Nm,Carded,Spun,12,Raw,Grey,Yarn Dyed,KG,Winter sweater,,
Y005,Merino Wool,Merino Wool,100%,2/30,Nm,Combed,Spun,14,Superwash,Black,Yarn Dyed,CONE,Premium wool,,
Y006,Acrylic 2/32,Acrylic,100%,2/32,Nm,Regular,Spun,13,Raw,Navy,Yarn Dyed,LBS,Budget knit,,
Y007,Wool Acrylic Blend,Wool/Acrylic,50:50:00,2/28,Nm,Carded,Spun,12,Raw,Charcoal,Yarn Dyed,KG,Cost-balanced,,
Y008,Cotton Acrylic,Cotton/Acrylic,60:40:00,24/1,Ne,Combed,Spun,16,Softener,Grey Melange,Melange,CONE,Melange look,,
Y009,Viscose Filament,Viscose,100%,150D,Denier,Filament,Filament,0,Bright,Black,Dope Dyed,LBS,Smooth shine,,
Y010,Viscose Nylon,Viscose/Nylon,80:20:00,120D,Denier,Filament,Filament,0,Bright,Navy,Dope Dyed,KG,Stretch knit,,
Y011,Polyester DTY,Polyester,100%,150D,Denier,Textured,Filament,0,Semi Dull,Black,Dope Dyed,CONE,Sports knit,,
Y012,Cotton Polyester,Cotton/Polyester,65:35:00,30/1,Ne,Combed,Spun,17,Raw,Heather Grey,Melange,LBS,Easy care,,
Y013,Nylon Stretch,Nylon,100%,70D,Denier,Stretch,Filament,0,Raw,Natural,Dope Dyed,KG,Rib stretch,,
Y014,Cashmere Blend,Cashmere/Wool,11:30,2/26,Nm,Combed,Spun,11,Soft Wash,Camel,Yarn Dyed,CONE,Luxury sweater,,
Y015,Bamboo Cotton,Bamboo/Cotton,70:30:00,30/1,Ne,Combed,Spun,18,Bio Polish,Off White,Yarn Dyed,LBS,Eco yarn,,
Y016,Recycled Polyester,rPET,100%,150D,Denier,Textured,Filament,0,Dull,Black,Dope Dyed,KG,Sustainable,,
Y017,Linen Blend,Linen/Cotton,55:45:00,16/1,Ne,Carded,Spun,14,Raw,Natural,Yarn Dyed,CONE,Summer knit,,
